Issue key,Priority,Summary,Issue type,Description,Status,Component,Reporter,Assignee,Created,Updated,Resolved,Resolution,EPD team,Epic link,Epic name,Story points,Fix versions,Last Sprint,Sprints,Labels,Original estimate,Remaining estimate,Time spent,Flagged
EIP1-4500,Three,,Story,"*As an* ERO
*I want* the register check to request EMSs to check historical registers
*So that* I can still find electors who are no longer on current registers

----

h2. Technical Notes

[https://github.com/cabinetoffice/eip-ero-register-checker-api/blob/eip-main/src/main/resources/openapi/sqs/rca-sqs-messaging.yaml#L102|https://github.com/cabinetoffice/eip-ero-register-checker-api/blob/eip-main/src/main/resources/openapi/sqs/rca-sqs-messaging.yaml#L102]

This looks done from a RC API perspective. Will be OE dev to integrate

This needs extended wit         h the historicalSearch flag set to true:

[https://github.com/cabinetoffice/eip-ero-overseas-applications-api/blob/eip-main/src/main/kotlin/uk/gov/dluhc/overseasapplicationsapi/mapper/RegisterCheckMapper.kt#L32|https://github.com/cabinetoffice/eip-ero-overseas-applications-api/blob/eip-main/src/main/kotlin/uk/gov/dluhc/overseasapplicationsapi/mapper/RegisterCheckMapper.kt#L32]

The historical register check will be called/queued automatically on creation of the application or on the editing of details sent to EMSs for validation.

h2. Acceptance Criteria

h3. AC1: Queue Register Check

*Given* an application is received
*When* the application is not flagged as a “{{previouslyRegisteredOverseas""}}
*Then* an SQS message will be sent to the EROP Register Checker service requesting a EMS register check
*And* the application will be saved indicating that the register check has been requested

h3. AC2: EMS Response Received

*Given* an application has requested a register check
*When* the EROP register check service processes the a response from the EMS and sends a SQS message back to the OE API service
*Then* the response will update the application with the status returned.",To Do,,Shane.yin,,08/Mar/23 4:42 PM,08/Sep/23 2:48 PM,,,,EIP1-7230,,,,,,API|Beta|OE|Refined|Valtech,,,,
EIP1-4813,Three,,Story,"As an authorised user in the Identity Tab

I WANT to be able to confirm the identity check

So that I can process the application

*Context*

Once all relevant checks has been made ie all supporting documents has been review and satisfied as adequate identity evidence

Then EROs can confirm the identity check as verified

*Assumptions*

* Autocheck has return a no record and not matched results OR
* Supporting documents has been provided in support of the application and/or
* Additional documentation has been provided 



*Screen design before determination* 

!image-20230912-032157.png|width=997,height=974!



*Screen design after determination* 

!image-20230912-032751.png|width=984,height=906!



h3. Acceptance Criteria



*AC1 accept identity* 

Given that the authorised user is in the identity tab

AND is satisfied that all checks has been done and verified

WHEN the user clicks on the Confirm Identity  button

THEN a banner with text confirmation message, ERO name and date and time of confirmation and undo button will be displayed  

AND confirmation will be recorded (See [https://technologyprogramme.atlassian.net/browse/EIP1-4811|https://technologyprogramme.atlassian.net/browse/EIP1-4811|smart-link] 

AND the identity status will change from ‘pending’ to 'verified'



*AC1 Reject identity* 

Given that the authorised user is in the identity tab

AND is satisfied that all checks has been done and verified

WHEN the user clicks on the reject Identity  button

THEN a banner with text rejection message, ERO name and date and time of rejection and undo button will be displayed  

AND confirmation will be recorded (See [https://technologyprogramme.atlassian.net/browse/EIP1-4811|https://technologyprogramme.atlassian.net/browse/EIP1-4811|smart-link] 

AND the identity status will change from ‘pending’ to 'rejected'



*AC2*

Given that the authorised user is in the identity tab

AND an application has been approved or rejected in the ‘determinations’ tab 

WHEN the user clicks confirm identity or Undo 

THEN the identity tab status should not change ",To Do,,yusuf.eldin,,18/Mar/23 10:45 AM,12/Sep/23 4:43 AM,,,,EIP1-4308,,,,,,Beta|OE|Refined|Valtech,,,,
EIP1-4815,Three,,Story,"As an authorised user reviewing identity documents

I WANT to be able to record acceptance of supporting document

So that I can process the identity of the applicant

*Context*

If applicant is not found or has no match from the NINO autocheck and have supporting documents to support their identity

Then the EROs will review these documents and can subsequently accept the documents 



*Screen Design*

!identitty updated 2 -20230912-013656.png|width=967,height=674!



+Accepted Document List+

!image-20230313-120616.png|width=757,height=237!

h3. Acceptance Criteria

*AC1: Accept document* 

GIVEN that the user has navigated to the document for acceptance

WHEN the user has clicked on the Accept Document button

THEN the accepted document will be listed in the Accepted document list

AND the document status (See [https://technologyprogramme.atlassian.net/browse/EIP1-4814|https://technologyprogramme.atlassian.net/browse/EIP1-4814|smart-link]   ) is updated to reflect acceptance",To Do,,yusuf.eldin,,18/Mar/23 10:47 AM,12/Sep/23 3:27 AM,,,,EIP1-4308,,,,,,Beta|OE|Refined|Valtech,,,,
EIP1-4816,Three,,Story,"As an authorised user reviewing identity documents

I WANT to be able to view uploaded supporting document

So that I can process the identity of the applicant

*Context*

If applicant is not found or has no match from the NINO autocheck and have supporting documents to support their identity

Then the EROs will review these documents and subsequently accept or reject the supporting documents and provided rejection reasons.

*Designs*

!image-20230912-022607.png|width=1116,height=592!



*AC1: Review Document*

GIVEN that the user has navigated to the document for acceptance

WHEN the user has clicked on the Review Document button or the document link 

THEN a document viewer will load the document in read-only mode",To Do,,yusuf.eldin,,18/Mar/23 10:47 AM,12/Sep/23 3:27 AM,,,,EIP1-4308,,,,,,Beta|OE|Refined|Valtech,,,,
EIP1-4817,Three,,Story,"As an authorised user in the Identity Tab

AND reviewing supporting document for identity checks

I WANT to be able to Reject a document and request a new document

So that I can continue to process the application

 

h3. *Context*

The ERO has reviewed all the supporting documents and may need to reject and request a new document. This feature will allow the user to reject and input a reason for the rejection

 

*Notes*

* Providing a rejection reason for a document is optional

h3. *Screen Designs*

 

 *Step1: Reject document*

!image-20230912-022522.png|width=1116,height=592!

 

*Step2: Select rejection reason and additional explanation*

!rejection reasons -20230912-021312.png|width=931,height=936!



 *Step3: Select rejection reason and additional explanation*

!image-20230418-005628.png|width=910,height=1047!

 

h3. Acceptance Criteria

 

*AC1 a: Reject uploaded document reason*

GIVEN that the authorised user is in the Identity Tab

AND is reviewing uploaded documents in the ‘Documents for review’ section

WHEN the user clicks the ‘Reject document’ button

THEN the UI will show the reject document reasons

AND a text box to add additional explanation for rejection

AND a Reject document and cancel button

 

*AC2a: Reject CTA*

GIVEN that the authorised user is rejecting a document under review

AND *selects rejection reasons*

WHEN the user rejects a document by clicking on the reject document button

THEN the rejected document will appear in Rejected document section

AND the document will show ‘Rejected reason’, ERO name and date and time of rejection and a link to the document

AND where *multiple rejection reasons are selected, display the reasons in the same field separated by commas*

AND the document status will be updated (See [https://technologyprogramme.atlassian.net/browse/EIP1-4814|https://technologyprogramme.atlassian.net/browse/EIP1-4814|smart-link]  )

 

*AC2b: Reject with no reason selected*

 

GIVEN that the authorised user is rejecting a document under review

*AND does not select a rejection reason*

WHEN the user rejects a document by clicking on the reject document button

THEN the rejected document will appear in Rejected document section

AND the document will show ERO name and date and time of rejection

AND *rejected reason* will show *‘not provided’*

AND the ‘Undo reject document’ button will be displayed

AND the document status will be updated (See [https://technologyprogramme.atlassian.net/browse/EIP1-4814|https://technologyprogramme.atlassian.net/browse/EIP1-4814|smart-link]  )

 

*AC2b: Reject CTA with additional information*

 

GIVEN that the authorised user is rejecting a document under review

*AND adds additional information*

WHEN the user rejects a document by clicking on the reject document button

THEN the rejected document will appear in Rejected document section

AND the document will show ‘Rejected reason’, ERO name and date and time of rejection

AND an extra field *‘additional information’ will show below.*

AND the document status will be updated (See( [https://technologyprogramme.atlassian.net/browse/EIP1-4814|https://technologyprogramme.atlassian.net/browse/EIP1-4814|smart-link]  )",To Do,,yusuf.eldin,,18/Mar/23 10:48 AM,12/Sep/23 3:27 AM,,,,EIP1-4308,,,,,,Beta|OE|Refined|Valtech,,,,
EIP1-4820,Three,,Story,"As an authorised user in the Identity Tab

And the auto check has returned with not found or a not matched result

I WANT to be able to record documents that has been uploaded or seen in support of the Identity check

So that I can process this application

h2. *Context*

When Identity auto check returns not provided or not matched NINO check then supporting documents will need to be added in support of the applicants overseas elector application. 

h2. *Notes.*

* the file restrictions are:

All files must be in PNG, GIF, JPG or PDF format, maximum 20MB

This ticket will cover both uploading and adding offline documents 

* API story for uploading documents [https://technologyprogramme.atlassian.net/browse/EIP1-7206|https://technologyprogramme.atlassian.net/browse/EIP1-7206|smart-link] 
* API story for offline documents [https://technologyprogramme.atlassian.net/browse/EIP1-7208|https://technologyprogramme.atlassian.net/browse/EIP1-7208|smart-link] 
* Spinner element may be needed as upload/add is not synchronous add in AC’s around the loading state 

h2. *Screen designs*



!identity updated-20230912-013548.png|width=957,height=770!



h3. *Uploaded documents view*

*Uploaded documents appear in a list under ‘Documents for review’ section with Review, Accept and Reject buttons and a link to the uploaded document.*



!identitty updated 2 -20230912-013656.png|width=967,height=674!



h3. *Drop down list:*



*Primary Identification Documents*

 Passport

ID card issued in EEA

UK-issued biometric immigration document

NI-issued electoral identity card

UK/CD-issued photocard driving licence

 

*Trusted Government Documents*

Birth certificate (UK or CD)

Marriage or civil partnership certificate (UK or CD)

Adoption certificate (UK or CD)

Firearms certificate (UK or CD)

UK-issued driving licence (not in photocard form)

Valid non-UK issued photocard driving licence

Police bail sheet (UK or CD)

 

*Financial and Social History Documents*

Mortgage statement 

Bank or building society statement or letter confirming account 

Credit card statement 

Pensions statement 

Council tax demand letter or statement

Utility bill

P45 or P60 issued by employer/former employer

Statement of benefits or entitlement to benefits



h2. *Acceptance Criteria*

*Upload Document*

*AC1:*

Given an authorised user is processing an application

WHEN the authorised user is in the Identity Tab view

AND clicks 'Add document for Review' CTA

THEN the ‘Add document for review’ section will expand to reveal a drop down list of document types

AND the authorised user can select a document type from the list

*AC2:*

Given an authorised user is in the Identity Tab

AND has selected a document type from the drop down list

WHEN the user clicks the ‘Choose file’ CTA

THEN the upload file facility will allow a user to upload a document [https://technologyprogramme.atlassian.net/browse/EIP1-7206|https://technologyprogramme.atlassian.net/browse/EIP1-7206|smart-link]

AND ‘No File chosen’ should be replaced by the uploaded file name

AND if the user clicks add document without selecting document type then an error message will display

*AC3:*

Given an authorised user is in the Identity Tab

WHEN the user has uploaded a supporting document

THEN the user will see the document in the ‘Documents for review’ section

AND the user will see the document type with Review, Accept and Reject buttons and a link to the document

*AC4:*

Given an authorised user is in the Identity Tab

WHEN the user has uploaded a supporting document 

THEN the document should show in a ‘loading state’ in the documents for review tab, until the upload is confirmed 



*Add document as seen*

*AC1:*

Given an authorised user is processing an application

WHEN the authorised user is in the Identity Tab view

AND clicks 'Add document for Review' CTA

THEN the ‘Add document for review’ section will expand to reveal a drop down list of document types

AND the authorised user can select a document type from the list

 *AC2:*

Given an authorised user is in the Identity Tab

AND has selected a document type from the drop down list

WHEN the user clicks the ‘Add document’ CTA

THEN the user will see the document in the ‘Documents for review’ section [https://technologyprogramme.atlassian.net/browse/EIP1-7208|https://technologyprogramme.atlassian.net/browse/EIP1-7208|smart-link] 

AND if the user clicks add document without selecting document type then an error message will display

*AC3:*

Given an authorised user is in the Identity Tab

WHEN the user has added a document as seen

THEN the user will see the document in the ‘Documents for review’ section

AND the user will see the document type with Review, ‘Accept document as seen’ and ‘Reject document as seen’ buttons",To Do,,yusuf.eldin,,18/Mar/23 10:50 AM,12/Sep/23 3:53 AM,,,,EIP1-4308,,,,,,Beta|OE|Refined|Valtech,,,,
EIP1-4821,Three,,Story,"As an authorised user in the Identity Tab

AND reviewing supporting document for identity checks

I WANT to be able to send a rejection notification with reasons for the rejection to the applicant

*Context*

The ERO has reviewed all the supporting documents and may need to reject the document. This story then allows the EROs to send a notification either by GOVT Notify or Email. In the content of the notification would list the document(s) that had been rejected and the reasons why for each. Also any other information from the ERO to the applicant ie please send in new documentation for review

*Screen Designs*

*NOTE: Latest Designs will need to replace the following images*

Step1: User has entered in rejection reasons for the document and rejected it

!image-20230912-024019.png|width=1110,height=1116!



Step3: Send Rejection communication

!image-20230912-024218.png|width=995,height=891!



Step4: Confirmation of message sent

!image-20230311-163429.png|width=866,height=533!

h2. Acceptance Criteria

*AC1: Send rejection communication*

GIVEN the the authorised user has rejected a document under review

AND wishes to send comms to the applicant by selected comms method ie either by Govt notify or email

AND has entered a message ie request new document etc

WHEN the user selects the Send communication button

THEN the message will be sent via the selected communication method [https://technologyprogramme.atlassian.net/browse/EIP1-7435|https://technologyprogramme.atlassian.net/browse/EIP1-7435|smart-link] 

AND a banner with sent confirmation, name and date and time will display",To Do,,yusuf.eldin,,18/Mar/23 10:50 AM,12/Sep/23 3:53 AM,,,,EIP1-4308,,,,,,Beta|OE|Refined|Valtech,,,,
EIP1-4822,Three,,Story,"As an authorised user reviewing identity documents

I WANT to be able to record acceptance of supporting document

So that I can process the identity of the applicant

 

h3. *Context*

If applicant is not found or has no match from the NINO autocheck and have added supporting documents to support their identity

Then the EROs will review these documents and subsequently accept or reject the supporting documents and provided rejection reasons.

 

*Notes*

Undo accepted document will be handled in a subsequent ticket

h3. *Screen Design*

!image-20230517-081341.png|width=50%!

 

*Accepted Document List*

!accepted new -20230517-081245.png|width=50%!

 

h3. Acceptance Criteria

 

*AC1: Accept uploaded document*

GIVEN that the citizen has uploaded a document

AND the ERO has navigated to the ‘Documents for review’ section

WHEN the user has clicked on the Accept Document button

THEN the accepted document will be listed in the Accepted document list

AND the document status (See [https://technologyprogramme.atlassian.net/browse/EIP1-3767|https://technologyprogramme.atlassian.net/browse/EIP1-3767|smart-link] ) is updated to reflect acceptance

AND the accepted document will display with ‘Accepted by’ (ERO name), date and time of acceptance, and a link to the document

(See designs above)",To Do,,yusuf.eldin,,18/Mar/23 10:51 AM,12/Sep/23 2:54 AM,,,,EIP1-4308,,,,,,Beta|OE|RefineInProgress|Valtech,,,,
EIP1-4945,Three,,Story,"*As an* ERO
*I want* to know when the DWP service returns a response to indicate there were too many matches to identify a single citzen
*So that* I review the electors details, update as needed to allow a DWP re-check.

----

h3. Technical Notes

The DWP service has returned a 422 response in request to a match request, this request included the persons full name, dob, address and last 4 digits of their NINO number and the service still found more than 1 individual.

----

h3. {color:#bf2600}Questions{color}

{color:#bf2600}What response/status should we return / show to EROs?{color}
{color:#bf2600}We currently only have match, no-match and match-deceased as responses.{color}
{color:#bf2600}We could send no-match but this is not strictly true.{color}
{color:#bf2600}Or we could add a new status: multiple-matches - this would involve changes to the existing VAC API and UI to support any new status.{color}",To Do,,Krister Bone,,22/Mar/23 5:30 PM,11/Sep/23 4:07 PM,,,,EIP1-4160,,,,OAVA/OE Sprint 13,OAVA/OE Sprint 13,API|Beta|OAVA|OE|RefineInProgress|Valtech,,,,
EIP1-5239,Three,,Story,"As an authorised user in the Identity Tab

I WANT to be able to indicate the method used to verify an applicant’s identity 

So that I can process the application

*Context*

Once all relevant checks has been made i.e. all supporting documents has been review and satisfied as adequate identity evidence

Then EROs can confirm the method that they used to verify the applicant’s identity 



*Notes*

* Selecting a method used to verify identity is optional 
* API ticket 

[https://technologyprogramme.atlassian.net/browse/EIP1-7198|https://technologyprogramme.atlassian.net/browse/EIP1-7198|smart-link] 



*Screen designs* 



!image-20230504-162839.png|width=83.33%!



!image-20230504-163219.png|width=83.33%!



AC1 

GIVEN an authorised user is in the identity tab 

WHEN an applicant’s identity has been assessed 

THEN the user can select the method they used to verify the applicants identity 



AC2 

GIVEN an authorised user is in the identity tab 

WHEN they select a method used to assess identity 

AND they have accepted or rejected the users identity 

THEN the UI should show the assessment option selected in the ‘option selected’ field 

AND the UI should show any additional notes in the ‘notes’ field 



AC3 

GIVEN an authorised user is in the identity tab 

WHEN they select a method used to assess identity 

AND they have accepted or rejected the users identity 

AND has not selected an assessment option 

THEN the ‘option selected’ field should show ‘not provided’ 



AC3 

GIVEN an authorised user is in the identity tab 

WHEN they select a method used to assess identity 

AND they have accepted or rejected the users identity 

AND they have not provided any additional notes 

THEN the ‘notes’ field should not show on the page ",To Do,,yusuf.eldin,,31/Mar/23 3:44 PM,12/Sep/23 3:52 AM,,,,EIP1-4308,,,,,,Beta|OE|Refined|Valtech,,,,
